#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,032  ,419  ,48901  ,TRANSF CORRENT PARC AGRARI                        ,032,419  ,48901 ,21000,0,,21000
2025,032  ,419  ,48902  ,TRANSF CORRENT ESPIGOLADORS                       ,032,419  ,48902 ,12000,4800,,12000
2025,032  ,419  ,48905  ,APORTACIÓ FUNDACIÓ POTA BLAVA                     ,032,419  ,48905 ,30000,0,,0
2025,041  ,3200 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,23162.7,0,,0
2025,041  ,3200 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,30883.52,0,,42352.61
2025,041  ,3200 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,11826.64,0,,6913.83
2025,041  ,3200 ,12004  ,SOUS DEL GRUP C2                                  ,,3    ,1     ,40098.56,0,,26572.17
2025,041  ,3200 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,48198.08,0,,33409.96
2025,041  ,3202 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,17560.44,0,,4555.69
2025,041  ,3202 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,61767.04,0,,45102.52
2025,041  ,3202 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,69865.6,0,,42359.4
2025,032  ,170  ,209    ,CANON FOTOVOLTAIQUES                              ,032,170  ,209   ,1000,0,,0
