#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,032  ,1721 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,30892.46,0,,15446.23
2025,032  ,1721 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,26473.92,0,,10334.8
2025,032  ,1721 ,22199  ,GESTIÓ-ESPAIS NATURALS                            ,032,17   ,22    ,5000,19719.05,,20384.76
2025,032  ,1722 ,22601  ,DESPESES DIVERSES                                 ,032,17   ,22    ,450,0,,126.75
2025,032  ,1722 ,22701  ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,30650,0,,0
2025,032  ,1722 ,467    ,APORT. CONSORCI ESPAIS NATURALS DEL DELTA         ,032,1722 ,467   ,60000,0,,45000
2025,014  ,150  ,640    ,"REDACCIÓ DE PROJECTES, ESTUDIS, DIRECCIONS OBRES  ",014,150  ,640   ,195000,427278.18,,65740.78
2025,032  ,419  ,2279901,ESTRATÈGIA ALIMENTACIÓ SOSTENIBLE                 ,032,41   ,22    ,7000,0,,0
2025,032  ,419  ,46601  ,QUOTA MEMBRE ASSOC RED DE CIUDADES POR LA AGRC    ,032,419  ,46601 ,1000,0,,1000
2025,032  ,419  ,48901  ,TRANSF CORRENT PARC AGRARI                        ,032,419  ,48901 ,21000,0,,21000
2025,032  ,419  ,48902  ,TRANSF CORRENT ESPIGOLADORS                       ,032,419  ,48902 ,12000,4800,,12000
2025,032  ,419  ,48905  ,APORTACIÓ FUNDACIÓ POTA BLAVA                     ,032,419  ,48905 ,30000,0,,0
2025,041  ,3200 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,23162.7,0,,0
2025,041  ,3200 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,30883.52,0,,28087.41
2025,041  ,3200 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,11826.64,0,,4240.5
2025,041  ,3200 ,12004  ,SOUS DEL GRUP C2                                  ,,3    ,1     ,40098.56,0,,17611.41
2025,041  ,3200 ,12006  ,TRIENNIS                                          ,,3    ,1     ,13238.76,0,,7955.59
2025,041  ,3200 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,48198.08,0,,22263.48
2025,041  ,3200 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,128441.32,0,,60064.78
2025,041  ,3200 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,87969.78,0,,35118.74
2025,041  ,3202 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,17560.44,0,,4555.69
